7:302,616,58,8,76,29,650,518,542,70
18:17,302,654,616,58,8,76,84,29,650
19:5145,4600,2048,13894,13694,1526,70402,1477,32307,65482
36:17,654,616,58,8,76,84,29,650,518
37:17,302,654,616,58,8,76,84,29,650
41:17,302,654,616,58,76,29,650,542,564
42:17,302,654,58,76,84,29,650,518,542
43:866,2139,361,2265,698,262,500,76,96,1913
44:302,616,8,76,84,518,542,70,564,354
45:347,6901,76,2312,698,4146,4,6545,1546,1787
46:302,616,58,8,76,650,542,564,1102,354
59:654,616,58,76,29,650,542,564,1102,354
60:302,616,58,8,76,84,29,650,518,542
69:302,654,58,76,29,650,564,354,224,138
70:12586,931,2946,1539,873,12022,1167,8066,2852,24425
94:17,302,654,616,58,76,84,29,650,70
106:8,84,29,518,70,1102,224,736,15,101
115:58,8,29,518,354,224,138,301,15,289
116:719,984,76,2318,463,1326,5480,2337,8860,661
142:58,8,84,29,1102,301,6,61,861,322
143:17,302,654,616,58,8,76,84,29,650
148:986,3137,2241,1884,500,13544,8283,3374,3939,3718
150:17,302,654,8,84,29,650,518,542,70
156:302,616,58,8,76,84,29,650,542,70
161:616,76,84,29,650,542,70,564,224,138
171:302,8,76,84,650,518,70,564,1102,354
172:654,58,8,76,84,518,542,70,564,1102
174:12586,931,2946,1539,2021,873,12022,1167,8066,2852
177:17,654,616,58,8,76,84,29,650,518
196:616,76,29,650,542,564,354,224,736,15
202:302,58,8,518,542,1102,354,224,138,301
211:1131,106,22,1957,23370,3661,9045,2816,14152,7624
217:17,302,654,616,58,8,76,84,29,650
220:866,2139,361,2265,698,262,500,76,96,1913
223:302,654,616,58,8,76,84,29,650,518
224:17,302,654,616,58,8,76,84,29,650
225:302,654,616,58,8,76,84,29,518,542
228:17,302,654,616,58,8,76,84,29,650
229:58,84,518,1102,736,15,101,285,6,508
231:302,654,616,58,8,76,84,29,518,542
232:347,6901,76,2312,698,4146,4,6545,1546,46
238:441,710,8928,4513,3618,1744,2917,371,6315,1256
241:616,58,76,84,29,650,518,542,70,564
245:81,986,226,3423,780,3137,2241,1749,1888,1884
249:17,302,654,616,58,8,76,84,29,650
250:302,654,616,58,8,84,29,518,542,70
253:605,3307,7422,11973,7087,6674,8908,11015,3378,8153
257:17,84,542,70,1102,354,138,301,15,289
272:654,616,58,8,76,29,650,518,542,70
273:17,302,654,76,650,70,354,224,138,301
288:17,616,58,76,84,29,650,70,1102,354
290:669,2703,17,76,40,224,1069,4239,2092,7680
291:17,302,654,616,58,76,84,29,650,518
292:654,616,58,76,542,70,564,224,138,301
294:17,302,8,76,29,542,70,564,1102,354
328:302,654,616,58,8,76,84,29,650,518
331:17,302,654,616,58,8,76,84,650,518
345:669,2703,17,76,40,224,1069,4239,508,2092
361:616,58,8,76,29,650,518,70,564,354
376:17,302,616,58,8,76,84,29,650,518
384:17,302,654,616,8,76,84,29,650,518
401:616,58,29,650,542,70,1102,354,138,301
402:302,654,8,84,518,542,70,564,1102,354
410:5738,984,76,463,1326,1460,2337,8860,2153,574
448:302,654,616,58,8,76,84,29,650,518
449:17,302,654,616,58,8,84,29,650,518
450:302,654,76,84,29,1102,354,224,138,301
452:24262,6304,49244,782,80641,6453,6463,1810,1335,8735
476:17,302,654,616,58,8,76,84,29,650
488:17,302,616,58,76,29,518,542,70,564
